idx,src,tgt,pred,prob
beam0,Anewdifficultyhasarisen.,Unenouvelledifficultéestapparue.,Nousavonssonsentresontrententes.,tensor([-43.0167])
beam1,Anewdifficultyhasarisen.,Unenouvelledifficultéestapparue.,Nousavonssonsentresontiententes.,tensor([-43.2489])
beam2,Anewdifficultyhasarisen.,Unenouvelledifficultéestapparue.,Nousavonssonsentresontiententent.,tensor([-44.9174])
beam3,Anewdifficultyhasarisen.,Unenouvelledifficultéestapparue.,Nousavonssonsentresontrentententes.,tensor([-48.1047])
beam4,Anewdifficultyhasarisen.,Unenouvelledifficultéestapparue.,Nousavonssonsentresontientententes.,tensor([-48.1984])
beam0,It'snotgoingtoendwell.,Çanevapasbienseterminer.,Jen'aipasquevouspas.,tensor([-12.4115])
beam1,It'snotgoingtoendwell.,Çanevapasbienseterminer.,Jen'aipaspasquevous.,tensor([-12.5136])
beam2,It'snotgoingtoendwell.,Çanevapasbienseterminer.,Jen'aipasquevouspasd'as.,tensor([-17.6798])
beam3,It'snotgoingtoendwell.,Çanevapasbienseterminer.,Jen'aipasquevouspasd'ait.,tensor([-18.8322])
beam4,It'snotgoingtoendwell.,Çanevapasbienseterminer.,Jen'aipasquevouspasdenter.,tensor([-21.2131])
beam0,Iwon'ttellanybody.,Jenelediraiàpersonne.,Jeneveuxpasquevous.,tensor([-7.6552])
beam1,Iwon'ttellanybody.,Jenelediraiàpersonne.,Jeneveuxpasvous.,tensor([-7.3313])
beam2,Iwon'ttellanybody.,Jenelediraiàpersonne.,Jeneveuxpasquevouspas.,tensor([-9.4442])
beam3,Iwon'ttellanybody.,Jenelediraiàpersonne.,Jeneveuxpasquevousvous.,tensor([-9.9619])
beam4,Iwon'ttellanybody.,Jenelediraiàpersonne.,Jeneveuxpasquejevous.,tensor([-9.8805])
beam0,Youarenotpermittedtobringdogsintothisbuilding.,Vousn'êtespasautoriséàamenerdeschiensdanscebâtiment.,Vousêtrezpasdementrentrespasdesdestrentrentres.,tensor([-60.6648])
beam1,Youarenotpermittedtobringdogsintothisbuilding.,Vousn'êtespasautoriséàamenerdeschiensdanscebâtiment.,Vousêtrezpasdementrentrespasdesdestrentrentrentre.,tensor([-65.4767])
beam2,Youarenotpermittedtobringdogsintothisbuilding.,Vousn'êtespasautoriséàamenerdeschiensdanscebâtiment.,Vousêtrezpasdementrentrespasdesdestrentrentrentres.,tensor([-66.8678])
beam3,Youarenotpermittedtobringdogsintothisbuilding.,Vousn'êtespasautoriséàamenerdeschiensdanscebâtiment.,Vousêtrezpasdementrentrespasdesdestrentrentrentrentre.,tensor([-71.9913])
beam4,Youarenotpermittedtobringdogsintothisbuilding.,Vousn'êtespasautoriséàamenerdeschiensdanscebâtiment.,Vousêtrezpasdementrentrespasdesdestrentrentrentrentres.,tensor([-73.4254])
beam0,Youmayswim.,Tupeuxnager.,Vousêtezvous.,tensor([-6.8561])
beam1,Youmayswim.,Tupeuxnager.,Vousêtezvousêtre.,tensor([-9.1100])
beam2,Youmayswim.,Tupeuxnager.,Vousêtezvousêtrez.,tensor([-10.4458])
beam3,Youmayswim.,Tupeuxnager.,Vousêtezvousavous.,tensor([-10.8035])
beam4,Youmayswim.,Tupeuxnager.,Vousêtezvousêtres.,tensor([-11.0302])
beam0,Don'tdrinktoomuch,okay?,Boispastrop,ok ?,Nepez-vouspaspas?,tensor([-9.7236])
beam1,Don'tdrinktoomuch,okay?,Boispastrop,ok ?,Nepez-vouspasezpas?,tensor([-11.3570])
beam2,Don'tdrinktoomuch,okay?,Boispastrop,ok ?,Nepez-vouspasquecepas?,tensor([-13.4253])
beam3,Don'tdrinktoomuch,okay?,Boispastrop,ok ?,Nepez-vouspasquecepasezpas?,tensor([-18.1752])
beam4,Don'tdrinktoomuch,okay?,Boispastrop,ok ?,Nepez-vouspasquecepas,cepas?,tensor([-20.1808])
beam0,Ihavefrizzyhair.,J'ailescheveuxcrêpus.,Jesuisdéchais.,tensor([-13.0270])
beam1,Ihavefrizzyhair.,J'ailescheveuxcrêpus.,Jesuisaisd'été.,tensor([-15.1227])
beam2,Ihavefrizzyhair.,J'ailescheveuxcrêpus.,Jesuisaisd'ais.,tensor([-15.1987])
beam3,Ihavefrizzyhair.,J'ailescheveuxcrêpus.,Jesuisaisd'étais.,tensor([-17.0889])
beam4,Ihavefrizzyhair.,J'ailescheveuxcrêpus.,Jesuisaisd'était.,tensor([-17.3958])
beam0,Didyouvoteyet?,Avez-vousdéjàvoté ?,Vousêtez-vous?,tensor([-3.4111])
beam1,Didyouvoteyet?,Avez-vousdéjàvoté ?,Vousêtez-vousvous?,tensor([-5.4526])
beam2,Didyouvoteyet?,Avez-vousdéjàvoté ?,Vousêtrez-vous?,tensor([-5.2954])
beam3,Didyouvoteyet?,Avez-vousdéjàvoté ?,Vousêtez-vousêtre?,tensor([-6.7055])
beam4,Didyouvoteyet?,Avez-vousdéjàvoté ?,Vousêtez-vousêtez-vous?,tensor([-7.9699])
beam0,Iwanttostretchmylegs.,Jeveuxétendremesjambes.,Jepensequevousvousmentre.,tensor([-17.4368])
beam1,Iwanttostretchmylegs.,Jeveuxétendremesjambes.,Jepensequevousvousmentrais.,tensor([-19.1984])
beam2,Iwanttostretchmylegs.,Jeveuxétendremesjambes.,Jepensequevousvousmentrent.,tensor([-19.5749])
beam3,Iwanttostretchmylegs.,Jeveuxétendremesjambes.,Jepensequevousvousmententre.,tensor([-21.1369])
beam4,Iwanttostretchmylegs.,Jeveuxétendremesjambes.,Jepensequevousvousmentrenter.,tensor([-22.9912])
beam0,Theyexchangedgreetings.,Ilsontéchangédesformulesdebienvenue.,Ilsestraitentententres.,tensor([-30.1610])
beam1,Theyexchangedgreetings.,Ilsontéchangédesformulesdebienvenue.,Ilsestraitententrentre.,tensor([-30.2602])
beam2,Theyexchangedgreetings.,Ilsontéchangédesformulesdebienvenue.,Ilsestraitententrentes.,tensor([-30.2633])
beam3,Theyexchangedgreetings.,Ilsontéchangédesformulesdebienvenue.,Ilsestraitententrentres.,tensor([-31.5458])
beam4,Theyexchangedgreetings.,Ilsontéchangédesformulesdebienvenue.,Ilsestraitentententrent.,tensor([-31.9682])
beam0,Ididn'tcatchwhathesaid.,Jen'aipassaisicequ'iladit.,Jenepeuxpasquevousfair.,tensor([-12.9590])
beam1,Ididn'tcatchwhathesaid.,Jen'aipassaisicequ'iladit.,Jenepeuxpasquevousfais.,tensor([-12.9612])
beam2,Ididn'tcatchwhathesaid.,Jen'aipassaisicequ'iladit.,Jenepeuxpasquevousfaire.,tensor([-13.6350])
beam3,Ididn'tcatchwhathesaid.,Jen'aipassaisicequ'iladit.,Jenepensaispasquevousfais.,tensor([-15.0124])
beam4,Ididn'tcatchwhathesaid.,Jen'aipassaisicequ'iladit.,Jenepensaispasquevousfaire.,tensor([-15.4973])
beam0,Ihearmusic.,J'entendsdelamusique.,Jesuisdéchais.,tensor([-11.9530])
beam1,Ihearmusic.,J'entendsdelamusique.,Jesuispourde.,tensor([-11.6951])
beam2,Ihearmusic.,J'entendsdelamusique.,Jesuispourdeche.,tensor([-14.6567])
beam3,Ihearmusic.,J'entendsdelamusique.,Jesuispourdechoi.,tensor([-16.4096])
beam4,Ihearmusic.,J'entendsdelamusique.,Jesuispourdechais.,tensor([-16.8623])
beam0,WhyamIstillalive?,Pourquoisuis-jetoujoursenvie?,Pourquois-jejej'ais-je?,tensor([-14.4205])
beam1,WhyamIstillalive?,Pourquoisuis-jetoujoursenvie?,Pourquois-jej'ais-tuje?,tensor([-14.6623])
beam2,WhyamIstillalive?,Pourquoisuis-jetoujoursenvie?,Pourquois-jejej'ais-t-il?,tensor([-16.2419])
beam3,WhyamIstillalive?,Pourquoisuis-jetoujoursenvie?,Pourquois-jej'ais-j'ail?,tensor([-16.2302])
beam4,WhyamIstillalive?,Pourquoisuis-jetoujoursenvie?,Pourquois-jejej'ais-t-ile?,tensor([-18.1515])
beam0,They'redisposable.,Ellessontjetables.,Iln'estpassontre.,tensor([-14.0422])
beam1,They'redisposable.,Ellessontjetables.,Iln'estpassontres.,tensor([-14.8707])
beam2,They'redisposable.,Ellessontjetables.,Iln'estpasdesontre.,tensor([-16.2713])
beam3,They'redisposable.,Ellessontjetables.,Iln'estpasdesontres.,tensor([-17.3335])
beam4,They'redisposable.,Ellessontjetables.,Iln'estpasdessontre.,tensor([-17.4798])
beam0,Pleasedonotkillme.,Jevouspriedenepasmetuer.,Vez-vouslezpasl'aille.,tensor([-21.5165])
beam1,Pleasedonotkillme.,Jevouspriedenepasmetuer.,Vez-vouslezpasl'aiment.,tensor([-22.7593])
beam2,Pleasedonotkillme.,Jevouspriedenepasmetuer.,Vez-vouslezpasl'aiment!,tensor([-22.8643])
beam3,Pleasedonotkillme.,Jevouspriedenepasmetuer.,Vez-vouslezpasl'aillle.,tensor([-22.9312])
beam4,Pleasedonotkillme.,Jevouspriedenepasmetuer.,Vez-vouslezpasl'ailller.,tensor([-24.9592])
beam0,Ijustdon'twanttogetyourhopesup.,Jeneveuxtoutsimplementpastefaireformerdefauxespoirs.,Jenepeuxpasquevouspasquevousvousvousvous.,tensor([-21.6793])
